Extensive Reading Foundation Graded Reader List																											
Black Cat - Cideb					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code		Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher  level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (Audio Book)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
BCGS	Black Cat - Cideb	Black Beauty	Anna Sewell	Black Cat Green Apple	Starter		Elementary (E)	A1	1.8-2.2	5,226 		A	80	S	4	F	Human interest	teen		978-88-530-0499-4						Y	
BCGS	Black Cat - Cideb	Five Children and It	E. Nesbit	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,841 		A	64	S	4	F	Adventure	teen		978-88-530-0475-8						Y	
BCGS	Black Cat - Cideb	Ghost Ship of Bodega Bay, The	Gina D. B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,763 		A	64	S	4	F	Mystery & horror	teen		978-88-530-0772-8						Y	
BCGS	Black Cat - Cideb	Halloween Horror	Gina D. B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.8-2.2	4,144 		A	64	Y	4	F	Mystery & horror	teen		978-88-7754-980-8						Y	
BCGS	Black Cat - Cideb	Happy Prince and The Selfish Giant, The	Oscar Wilde	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	2,697 		A	64	Y	4	F	Fairy tale & fantasy	teen		978-88-7754-967-9						Y	
BCGS	Black Cat - Cideb	Jungle Book, The	Rudyard Kipling	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	5,062 		A	80	S	4	F	Adventure	teen		978-88-530-0418-5						Y	
BCGS	Black Cat - Cideb	Just So Stories	Rudyard Kipling	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	3,724 		A	64	Y	4	F	Fairy tale & fantasy	teen		978-88-530-1013-1						Y	LLLA WINNER 2011
BCGS	Black Cat - Cideb	Nutcracker, The	E. T. A. Hoffman, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	3,641 		A	64	S	4	F	Fairy tale & fantasy	teen		978-88-530-0845-9						Y	
BCGS	Black Cat - Cideb	Peter Pan	J. M. Barrie, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,909 		A	64	Y	4	F	Fairy tale & fantasy	teen		978-88-530-0578-6						Y	
BCGS		Pinocchio	Carlo Collodi , Adapted by Gina D.B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,828 		A	64	Y	4	F	Fairy tale & fantasy	teen		978-88-530-1546-4							
BCGS	Black Cat - Cideb	Sandokan	Emilio Salgari, Adapted by Sally M. Stockton	Black Cat Green Apple	Starter		Elementary (E)	A1	1.8-2.2	4,672 		A	80	S	4	F	Adventure	teen		978-88-530-0405-5						Y	
BCGS	Black Cat - Cideb	Secret Garden, The	Frances Hodgson Burnett, Adapted by Elizabeth Ann Moore	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,432 		A	64	S	4	F	Human interest	teen		978-88-530-0843-5						Y	LLLA Finalist 2010
BCGS	Black Cat - Cideb	Secret of the Stones, The	Victoria Heward	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,500 		A	80	S	4	F	Mystery & horror	teen		978-88-530-0582-3						Y	
BCGS	Black Cat - Cideb	Tempest, The	William Shakespeare, Adapted by Victoria Heward	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	2,320 		A	80	Y	4	F	Human interest	teen		978-88-530-0449-9						Y	
BCGS	Black Cat - Cideb	Wind in the Willows, The	Kenneth Grahame, Adapted by Rebecca Raynes	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	5,148 		A	64	S	4	F	Adventure	teen		978-88-530-0471-0						Y	
BCGS	Black Cat - Cideb	Wonderful Wizard of Oz, The	L. Frank Baum, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	4,289 		A	80	S	4	F	Fairy tale & fantasy	teen		978-88-530-0451-2						Y	
BCGS	Black Cat - Cideb	Zorro!	Johnston McCulley, Adapted by Sally M. Stockton	Black Cat Green Apple	Starter		Elementary (E)	A1	1.4-1.6	3,872 		A	64	Y	4	F	Adventure	teen		978-88-530-0219-8						Y	
BCG1	Black Cat - Cideb	Adventures of Tom Sawyer, The	Mark Twain, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,426 		A	80	Y	5	F	Adventure	teen	978-88-530-0243-3	978-88-530-1091-9						Y	
BCG1		Akron House Mystery	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,840 		A	80	S	5	F	Mystery	teen		978-88-530-1204-3						Y	
BCG1	Black Cat - Cideb	American Folk Tales	Retold by George Gibson	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.8-2.2	3,461 		A	80	Y	5	F	Legend	teen		978-88-530-0107-8						Y	
BCG1	Black Cat - Cideb	American West (The)	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-1.8	2,700 		A		S	5	NF	History	teen	978-88-7754-969-3							Y	
BCG1	Black Cat - Cideb	Black Arrow (The)	Robert Louis Stevenson, Adapted by George Gibson	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,952 		A	80	S	5	F	Adventure	teen		978-88-530-0556-4						Y	
BCG1	Black Cat - Cideb	Bottle Imp (The)	Robert Louis Stevenson, Adapted by Patrizia Caruzzo	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	2,817 		A	64	S	5	F	Mystery & horror	teen		978-88-530-0213-6						Y	
BCG1	Black Cat - Cideb	British and American Festivities	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	2.0-3.5	8,902 		A	128	Y	5	NF	Festivals	teen		978-88-530-0194-8						Y	
BCG1		Canterville Ghost (The)  	Oscar Wilde, Adapted by Gina D.B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2		5,311 		A	80	S	5	F	Mystery & horror	teen		978-88-530-1511-2							
BCG1	Black Cat - Cideb	Davy Crockett	Retold by Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-1.8	3,200 		A		Y	5	NF	History	teen	978-88-530-0109-2							Y	
BCG1	Black Cat - Cideb	Ghastly Ghosts!	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.8-2.2	3,900 		A		Y	5	F	Mystery & horror	teen		978-88-7754-624-1						Y	
BCG1		Great Adventure at Yellowstone	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2		6,094 		A	80	S	5	F	Adventure	teen		978-88-530-1412-2							
BCG1	Black Cat - Cideb	Great Expectations	Charles Dickens, Adapted by Derek Sellen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	3,946 		A	96	Y	5	F	Human interest	teen		978-88-530-0807-7						Y	
BCG1	Black Cat - Cideb	Halloween… Magic, Witches and Vampires	Kelly Reinhart	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	2,636 		A	64	N	5	NF	Festivals	teen		978-88-530-0288-4						Y	
BCG1	Black Cat - Cideb	I Want To Be You	Andrea M. Hutchinson	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,466 		A	80	S	5	F	Human interest	teen		978-88-530-1092-6						Y	
BCG1	Black Cat - Cideb	Jason and the Argonauts	Retold by Jennifer Gascoigne	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,591 		A	80	S	5	F	Legend	teen		978-88-530-0948-7						Y	
BCG1	Black Cat - Cideb	Last Unicorn, The	Jane Elizabeth Cammack	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	4,942 		A	80	S	5	F	Fairy tale & fantasy	teen		978-88-530-1093-3							
BCG1	Black Cat - Cideb	Legends from the British Isles	Retold by Deborah Meyers	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,293 		A	96	S	5	F	Legend	teen		978-88-530-0618-9						Y	
BCG1	Black Cat - Cideb	Little Women	Louisa May Alcott, Adapted by Kelly Reinhart	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	6,144 		A	80	Y	5	F	Human interest	teen		978-88-530-0473-4						Y	
BCG1	Black Cat - Cideb	Lost Treasure of Bodega Bay, The	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,829 		A	80	Y	5	F	Mystery & horror	teen		978-88-530-1016-2						Y	
BCG1	Black Cat - Cideb	Midsummer's Night's Dream, A	William Shakespeare, Adapted by Janet Cameron	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	4021		A	96	Y	5	F	Human interest	teen		978-88-530-1014-8						Y	
BCG1	Black Cat - Cideb	Mystery in San Francisco	Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,155 		A	80	Y	5	F	Mystery & horror	teen		978-88-530-0215-0						Y	
BCG1	Black Cat - Cideb	Prince and the Pauper, The	Mark Twain, Adapted by Kelly Reinhart	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,758 		A	80	S	5	F	Adventure	teen		978-88-530-0480-2						Y	
BCG1	Black Cat - Cideb	Project Vampire	Victoria Heward	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,309 		A	80	S	5	F	Mystery & horror	teen		978-88-530-1205-0							
BCG1	Black Cat - Cideb	Railway Children, The	E. Nesbit, Adapted by Elizabeth Ann Moore	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5,425 		A	80	S	5	F	Adventure	teen		978-88-530-0497-0						Y	
BCG1	Black Cat - Cideb	Red Pony, The		Black Cat Green Apple	Step 1		Elementary (H)	A2					80	N	5	F	Animals &Human interest	teen								N	Not in Catalog
BCG1	Black Cat - Cideb	Rip Van Winkle and The Legend of Sleepy Hollow	Washington Irving, Adapted by Cheryl Jefferson	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	2,200 		A	80	N	5	F	Legend	teen		978-88-530-0809-1						Y	
BCG1	Black Cat - Cideb	Robinson Crusoe	Daniel Defoe, Adapted by Benjamin Anderson	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5890		A	80	Y	5	F	Adventure	teen		978-88-530-0656-1						Y	
BCG1	Black Cat - Cideb	Sherlock Holmes and the Red Circle	Sir Arthur Conan Doyle, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5148		A	80	Y	5	F	Mystery & horror	teen		978-88-530-0950-0						Y	
BCG1	Black Cat - Cideb	Treasure of Franchard, The	Robert Louis Stevenson, Adapted by Deborah Meyers	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.6-2.2	5423		A	80	S	5	F	Human interest	teen		978-88-530-1015-5						Y	
BCG1	Black Cat - Cideb	True Story of Pocahontas (The)	Retold by Kelly Reinhart	Black Cat Green Apple	Step 1		Elementary (H)	A2	1.8-2.2	2,583 		A	64	Y	5	NF	History	teen		978-88-7754-982-2						Y	
BCG2	Black Cat - Cideb	Adventures of Huckleberry Finn	Mark Twain, Adapted by Frances Justice	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	2.5-3.0	8,457 		A	80	Y	6	F	Adventure	teen		978-88-530-0397-3						Y	
BCG2	Black Cat - Cideb	Call of the Wild (The)	Jack London, Adapted by Gina D. B. Clemen	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.3	7,907 		A	112	Y	6	F	Adventure	teen		978-88-7754-859-7						Y	
BCG2	Black Cat - Cideb	David Copperfield	Charles Dickens, Adapted by Derek Sellen	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.0-3.5	9,118 		A	96	Y	6	F	Human interest	teen	978-88-7754-926-6	978-88-530-1324-8						Y	
BCG2	Black Cat - Cideb	Great English Monarchs and their Times	Gina D. B. Clemen	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.0-3.5	7,539 		A	114	Y	6	NF	History	teen		978-88-530-0423-9						Y	
BCG2	Black Cat - Cideb	King Arthur and his Knights	Retold by George Gibson	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	2.5-3.0	2,059 		A	80	Y	6	F	Legend	teen		978-88-530-0082-8						Y	
BCG2D	Black Cat - Cideb	Macbeth	William Shakespeare, Adapted by Victoria Heward	Black Cat Green Apple Drama	Step 2		Intermediate (M)	A2/B1		3665		A	128	S	6	F	Adventure	teen		978-88-530-0847-3						Y	
BCG2		Million Dollar Theft in San Francisco  	Gina D. B. Clemen	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1		7,963 			80	S	6	F	Adventure	teen		978-88-530-1512-9							
BCG2	Black Cat - Cideb	Oliver Twist	Charles Dickens, Adapted by George Gibson	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.0-3.5	9,249 		A	96	Y	6	F	Adventure	teen		978-88-530-1325-5						Y	
BCG2	Black Cat - Cideb	Oscar Wilde's Short Stories	Oscar Wilde, Adapted by Victoria Heward	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.0-3.5	6,387 		A	96	S	6	F	Fairy tale & fantasy	teen		978-88-7754-794-1						Y	
